MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,33787.55125,,26579.54357,,21132.98025,,13133.48465,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2562.202263,,6168.685723,,9875.097976,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33502.62046,,29357.72476,,22987.59545,,18906.68278,,12217.28287,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,18963.52366,,17462.20817,,15754.73526,,14327.86407,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7743.498104,,5900.096335,,5583.370846,,5417.342897,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2950.314337,,3289.079075,,3246.328371,,3235.395867,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7540.191157,,7542.440151,,6193.887266,,4947.219419,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14569.92309,,10258.83583,,5390.022005,,3016.582254,,-2245.946465,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11838.83235,,7938.370715,,3276.885645,,1410.20855,,-2463.563347,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.7342224,,802.5281711,,664.6930991,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49868.68092,,42420,,34340,,28280,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-FullTech,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.13718,,9502.475582,,8668.842592,,7839.01884,,7047.252382,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CH4,Mt CH4/yr,348.9808039,366.9965737,,241.9276234,,205.5392983,,191.1339553,,175.6890495,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,35588.83063,,28492.06262,,20122.40591,,13148.92364,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2555.312072,,6301.34865,,9936.754918,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33502.62046,,31159.00413,,24900.1145,,17896.10844,,12232.72187,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19249.77991,,18062.90392,,16298.04309,,15206.39147,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimBio,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,6205.142778,,5119.620649,,4896.576708,,,,,,,,,,
